questionId,trainingId,sopCode,questionNo,question_type,cognitive_level,prompt,optionA,optionB,optionC,optionD,correct_option,correct_answer_text,rationale,tags,auto_gradable,requires_human_review,points
HIS-TRN-GOV-001-Q01,HIS-TRN-GOV-001,HIS-SOP-GOV-001,1,single_choice,understanding,"For HIS-SOP-GOV-001 (SOP governance), what is the primary business reason the SOP exists?","Creates one disciplined way to own, approve, version, publish, revise, retire, and enforce SOPs so process changes do not become scattered documents.",To let each department maintain its own SOP copy as long as the manager agrees.,To allow urgent process changes to be handled by email first and documented later if needed.,To treat reviewer comments as final approval even when no authorized approver has published the SOP.,A,"Creates one disciplined way to own, approve, version, publish, revise, retire, and enforce SOPs so process changes do not become scattered documents.",The correct answer describes the actual business outcome of this SOP. The other options are realistic but unsafe shortcuts or misunderstandings that would weaken the operating standard.,purpose|business_value,True,False,1
HIS-TRN-GOV-001-Q02,HIS-TRN-GOV-001,HIS-SOP-GOV-001,2,single_choice,application,"Before publishing or revising an SOP is treated as ready under HIS-SOP-GOV-001, which control is required?","Proceed if the candidate/client seems urgent, even if required records are not complete.","The SOP must have a code, owner, approver, review workflow, effective date, mapped training, and locked published version.",Use the most recent email or chat thread as the only working standard.,"Start execution once the manager gives a verbal go-ahead, then add missing fields at week end.",B,"The SOP must have a code, owner, approver, review workflow, effective date, mapped training, and locked published version.",Readiness requires the module-specific control to be completed and visible in the approved system.,required_control|readiness,True,False,1
HIS-TRN-GOV-001-Q03,HIS-TRN-GOV-001,HIS-SOP-GOV-001,3,single_choice,application,Which record best proves HIS-SOP-GOV-001 was followed for publishing or revising an SOP?,A personal note or spreadsheet maintained by one team member only.,A verbal update in the daily standup with no system entry.,"SOP version history, reviewer comments, approval status, effective date, and training mapping.","A generic completion message that does not include evidence, owner, or next step.",C,"SOP version history, reviewer comments, approval status, effective date, and training mapping.","The record must be specific enough for another team member or auditor to understand the action, status, and evidence.",documentation|system_record,True,False,1
HIS-TRN-GOV-001-Q04,HIS-TRN-GOV-001,HIS-SOP-GOV-001,4,scenario_single_choice,scenario_application,Scenario: A manager finds a typo and wants to directly change a published SOP before tomorrow’s team training. What is the best response?,Move forward quickly and document the exception only if a problem occurs.,Ask the team to handle it informally because the situation is time-sensitive.,Treat the issue as resolved if a verbal confirmation was received.,"Create a new revision/version or change request through SOP governance, not an informal edit to the active published version.",D,"Create a new revision/version or change request through SOP governance, not an informal edit to the active published version.","The best response applies the SOP control before the issue turns into a delivery, compliance, or communication failure.",scenario|edge_case,True,False,1
HIS-TRN-GOV-001-Q05,HIS-TRN-GOV-001,HIS-SOP-GOV-001,5,single_choice,analysis,What is the most realistic misunderstanding that would weaken HIS-SOP-GOV-001?,"Treating the published SOP as a flexible reference instead of the locked version that controls process, training, and audit.",Confusing reviewer feedback with final approval authority for published SOP changes.,Believing minor SOP edits do not need a version history when the intent is unchanged.,Treating an “approved with comments” review as a reason to delay rollout indefinitely.,A,"Treating the published SOP as a flexible reference instead of the locked version that controls process, training, and audit.","The correct answer is the most direct misunderstanding that would break the SOP’s operating control. The distractors are plausible misunderstandings, but they are either narrower, secondary, or less central to this SOP.",misconception|analysis|module_specific,True,False,1
HIS-TRN-GOV-001-Q06,HIS-TRN-GOV-001,HIS-SOP-GOV-001,6,single_choice,application,Who should own or verify the key control for HIS-SOP-GOV-001?,No assigned owner is needed if the team discusses it in a meeting.,SOP Owner drafts and responds; CEO/Super Admin publishes after workflow review.,"Only the newest team member working the task, because they are closest to the work.",Any person can close it without review if the outcome looks positive.,B,SOP Owner drafts and responds; CEO/Super Admin publishes after workflow review.,Ownership must match the SOP’s operating responsibility so accountability does not disappear in remote work.,ownership|manager_control,True,False,1
HIS-TRN-GOV-001-Q07,HIS-TRN-GOV-001,HIS-SOP-GOV-001,7,scenario_single_choice,scenario_application,Scenario: A reviewer misses the 5-business-day review deadline and has not flagged any blocker. What should happen next?,Let the person who discovered the issue decide without involving the required owner or workflow.,Continue using the old information because changing records mid-process creates extra work.,Record no response/no objection and allow CEO/Super Admin to proceed if the SOP is ready.,Keep the issue in a private note until the final outcome is known.,C,Record no response/no objection and allow CEO/Super Admin to proceed if the SOP is ready.,"The scenario tests the second-level application of the SOP when work changes, conflicts, or becomes risky.",scenario|second_scenario,True,False,1
HIS-TRN-GOV-001-Q08,HIS-TRN-GOV-001,HIS-SOP-GOV-001,8,single_choice,evaluation,Which evidence would best show that HIS-SOP-GOV-001 is working after rollout?,"Managers remember discussing the SOP, but there is no KPI, record, or compliance evidence.","The SOP exists in a folder, even if training, acknowledgment, and audits are incomplete.","Most employees say in chat that they understand the SOP, but no workflow data is reviewed.","100% of active SOPs have owner, version, effective date, training mapping, and review status.",D,"100% of active SOPs have owner, version, effective date, training mapping, and review status.","The success measure must connect the SOP to measurable adoption, quality, compliance, or business impact.",success_measure|kpi,True,False,1
HIS-TRN-REQ-001-Q01,HIS-TRN-REQ-001,HIS-SOP-REQ-001,1,single_choice,understanding,"For HIS-SOP-REQ-001 (requirement synthesis), what is the primary business reason the SOP exists?",To let recruiters use the raw client JD without a shared execution brief when the role seems obvious.,"Prevents blind sourcing by converting fragmented JDs, VMS notes, client emails, and manager expectations into one clear execution brief before recruiting starts.",To let each recruiter define must-haves independently based on personal experience with similar roles.,"To start sourcing while rate, disqualifiers, and submission requirements are still being clarified.",B,"Prevents blind sourcing by converting fragmented JDs, VMS notes, client emails, and manager expectations into one clear execution brief before recruiting starts.",The correct answer describes the actual business outcome of this SOP. The other options are realistic but unsafe shortcuts or misunderstandings that would weaken the operating standard.,purpose|business_value,True,False,1
HIS-TRN-REQ-001-Q02,HIS-TRN-REQ-001,HIS-SOP-REQ-001,2,single_choice,application,"Before starting sourcing on a new role is treated as ready under HIS-SOP-REQ-001, which control is required?","Start execution once the manager gives a verbal go-ahead, then add missing fields at week end.","Proceed if the candidate/client seems urgent, even if required records are not complete.","Raw JD, VMS notes, client email, rate/pay, must-haves, disqualifiers, candidate pitch, and screening questions must be synthesized and human-approved.",Use the most recent email or chat thread as the only working standard.,C,"Raw JD, VMS notes, client email, rate/pay, must-haves, disqualifiers, candidate pitch, and screening questions must be synthesized and human-approved.",Readiness requires the module-specific control to be completed and visible in the approved system.,required_control|readiness,True,False,1
HIS-TRN-REQ-001-Q03,HIS-TRN-REQ-001,HIS-SOP-REQ-001,3,single_choice,application,Which record best proves HIS-SOP-REQ-001 was followed for starting sourcing on a new role?,A personal note or spreadsheet maintained by one team member only.,A verbal update in the daily standup with no system entry.,"A generic completion message that does not include evidence, owner, or next step.","Execution brief with must-haves, nice-to-haves, disqualifiers, rate/pay guidance, screening questions, and submission checklist.",D,"Execution brief with must-haves, nice-to-haves, disqualifiers, rate/pay guidance, screening questions, and submission checklist.","The record must be specific enough for another team member or auditor to understand the action, status, and evidence.",documentation|system_record,True,False,1
HIS-TRN-REQ-001-Q04,HIS-TRN-REQ-001,HIS-SOP-REQ-001,4,scenario_single_choice,scenario_application,Scenario: A recruiter has only a copied JD and no clarity on must-haves or disqualifiers but wants to start sourcing to save time. What is the best response?,"Pause broad sourcing and complete the execution brief with clarified must-haves, disqualifiers, pay/rate guidance, and approval.",Move forward quickly and document the exception only if a problem occurs.,Ask the team to handle it informally because the situation is time-sensitive.,Treat the issue as resolved if a verbal confirmation was received.,A,"Pause broad sourcing and complete the execution brief with clarified must-haves, disqualifiers, pay/rate guidance, and approval.","The best response applies the SOP control before the issue turns into a delivery, compliance, or communication failure.",scenario|edge_case,True,False,1
HIS-TRN-REQ-001-Q05,HIS-TRN-REQ-001,HIS-SOP-REQ-001,5,single_choice,analysis,What is the most realistic misunderstanding that would weaken HIS-SOP-REQ-001?,"Assuming the original JD is enough even when the recruiter pitch, must-haves, and disqualifiers are unclear.","Treating the unified execution brief as optional when the role is urgent, causing recruiters to work from different interpretations.",Using an AI-generated brief without human review because the role looks standard.,Allowing two recruiters to work the same role from different interpretations of the requirement.,B,"Treating the unified execution brief as optional when the role is urgent, causing recruiters to work from different interpretations.","The correct answer is the most direct misunderstanding that would break the SOP’s operating control. The distractors are plausible misunderstandings, but they are either narrower, secondary, or less central to this SOP.",misconception|analysis|module_specific,True,False,1
HIS-TRN-REQ-001-Q06,HIS-TRN-REQ-001,HIS-SOP-REQ-001,6,single_choice,application,Who should own or verify the key control for HIS-SOP-REQ-001?,No assigned owner is needed if the team discusses it in a meeting.,"Only the newest team member working the task, because they are closest to the work.",Account/Delivery owner validates the brief; recruiters use it for sourcing and screening.,Any person can close it without review if the outcome looks positive.,C,Account/Delivery owner validates the brief; recruiters use it for sourcing and screening.,Ownership must match the SOP’s operating responsibility so accountability does not disappear in remote work.,ownership|manager_control,True,False,1
HIS-TRN-REQ-001-Q07,HIS-TRN-REQ-001,HIS-SOP-REQ-001,7,scenario_single_choice,scenario_application,"Scenario: KleriQ generates a role brief, but it conflicts with a client email about required certification. What should happen next?",Let the person who discovered the issue decide without involving the required owner or workflow.,Continue using the old information because changing records mid-process creates extra work.,Keep the issue in a private note until the final outcome is known.,Escalate and resolve the conflict with human review before using the brief as the sourcing standard.,D,Escalate and resolve the conflict with human review before using the brief as the sourcing standard.,"The scenario tests the second-level application of the SOP when work changes, conflicts, or becomes risky.",scenario|second_scenario,True,False,1
