questionId,trainingId,sopCode,questionNo,question_type,cognitive_level,prompt,optionA,optionB,optionC,optionD,correct_option,rationale,tags
HIS-TRN-GOV-001-Q01,HIS-TRN-GOV-001,HIS-SOP-GOV-001,1,single_choice,understanding,"For HIS-SOP-GOV-001 (SOP governance), what is the primary business reason the SOP exists?",To let managers bypass formal records when urgency is high and document later.,"To focus mainly on activity volume even if records, handoffs, or quality controls are incomplete.",To provide optional reference guidance for SOP governance that teams may adapt without approval.,"Creates one disciplined way to own, approve, version, publish, revise, retire, and enforce SOPs so process changes do not become scattered documents.",D,"The SOP exists to support the specific business outcome described for SOP governance, not to create optional paperwork.",purpose;business_value
HIS-TRN-GOV-001-Q02,HIS-TRN-GOV-001,HIS-SOP-GOV-001,2,single_choice,application,"Before publishing or revising an SOP is treated as ready under HIS-SOP-GOV-001, which control is required?","The SOP must have a code, owner, approver, review workflow, effective date, mapped training, and locked published version.",Use the most recent email or chat thread as the only working standard.,"Proceed if the candidate/client seems urgent, even if required records are not complete.","Start execution once the manager gives a verbal go-ahead, then add missing fields at week end.",A,Readiness requires the module-specific control to be completed and visible in the approved system.,required_control;readiness
HIS-TRN-GOV-001-Q03,HIS-TRN-GOV-001,HIS-SOP-GOV-001,3,single_choice,application,Which record best proves HIS-SOP-GOV-001 was followed for publishing or revising an SOP?,A verbal update in the daily standup with no system entry.,"SOP version history, reviewer comments, approval status, effective date, and training mapping.",A personal note or spreadsheet maintained by one team member only.,"A generic completion message that does not include evidence, owner, or next step.",B,"The record must be specific enough for another team member or auditor to understand the action, status, and evidence.",documentation;system_record
HIS-TRN-GOV-001-Q04,HIS-TRN-GOV-001,HIS-SOP-GOV-001,4,scenario_single_choice,scenario_application,Scenario: A manager finds a typo and wants to directly change a published SOP before tomorrow’s team training. What is the best response?,Treat the issue as resolved if a verbal confirmation was received.,Move forward quickly and document the exception only if a problem occurs.,"Create a new revision/version or change request through SOP governance, not an informal edit to the active published version.",Ask the team to handle it informally because the situation is time-sensitive.,C,"The best response applies the SOP control before the issue turns into a delivery, compliance, or communication failure.",scenario;edge_case
HIS-TRN-GOV-001-Q05,HIS-TRN-GOV-001,HIS-SOP-GOV-001,5,single_choice,analysis,What is the most realistic misunderstanding that would weaken HIS-SOP-GOV-001?,Using the approved system to make handoffs visible to managers and teammates.,Treating the published SOP version record as optional when the team is busy or the role is urgent.,Believing every completed record should also have a clear owner and due date.,Escalating blockers early when required information or approval is missing.,B,A common failure mode is treating the key artifact/control as optional under pressure; the other options are expected behaviors.,misunderstanding;risk
HIS-TRN-GOV-001-Q06,HIS-TRN-GOV-001,HIS-SOP-GOV-001,6,single_choice,application,Who should own or verify the key control for HIS-SOP-GOV-001?,SOP Owner drafts and responds; CEO/Super Admin publishes after workflow review.,No assigned owner is needed if the team discusses it in a meeting.,"Only the newest team member working the task, because they are closest to the work.",Any person can close it without review if the outcome looks positive.,A,Ownership must match the SOP’s operating responsibility so accountability does not disappear in remote work.,ownership;manager_control
HIS-TRN-GOV-001-Q07,HIS-TRN-GOV-001,HIS-SOP-GOV-001,7,scenario_single_choice,scenario_application,Scenario: A reviewer misses the 5-business-day review deadline and has not flagged any blocker. What should happen next?,Continue using the old information because changing records mid-process creates extra work.,Let the person who discovered the issue decide without involving the required owner or workflow.,Keep the issue in a private note until the final outcome is known.,Record no response/no objection and allow CEO/Super Admin to proceed if the SOP is ready.,D,"The scenario tests the second-level application of the SOP when work changes, conflicts, or becomes risky.",scenario;second_scenario
HIS-TRN-GOV-001-Q08,HIS-TRN-GOV-001,HIS-SOP-GOV-001,8,single_choice,evaluation,Which evidence would best show that HIS-SOP-GOV-001 is working after rollout?,"Managers remember discussing the SOP, but there is no KPI, record, or compliance evidence.","100% of active SOPs have owner, version, effective date, training mapping, and review status.","The SOP exists in a folder, even if training, acknowledgment, and audits are incomplete.","Most employees say in chat that they understand the SOP, but no workflow data is reviewed.",B,"The success measure must connect the SOP to measurable adoption, quality, compliance, or business impact.",success_measure;kpi
HIS-TRN-REQ-001-Q01,HIS-TRN-REQ-001,HIS-SOP-REQ-001,1,single_choice,understanding,"For HIS-SOP-REQ-001 (requirement synthesis), what is the primary business reason the SOP exists?",To let managers bypass formal records when urgency is high and document later.,"To focus mainly on activity volume even if records, handoffs, or quality controls are incomplete.","Prevents blind sourcing by converting fragmented JDs, VMS notes, client emails, and manager expectations into one clear execution brief before recruiting starts.",To provide optional reference guidance for requirement synthesis that teams may adapt without approval.,C,"The SOP exists to support the specific business outcome described for requirement synthesis, not to create optional paperwork.",purpose;business_value
HIS-TRN-REQ-001-Q02,HIS-TRN-REQ-001,HIS-SOP-REQ-001,2,single_choice,application,"Before starting sourcing on a new role is treated as ready under HIS-SOP-REQ-001, which control is required?","Start execution once the manager gives a verbal go-ahead, then add missing fields at week end.","Raw JD, VMS notes, client email, rate/pay, must-haves, disqualifiers, candidate pitch, and screening questions must be synthesized and human-approved.","Proceed if the candidate/client seems urgent, even if required records are not complete.",Use the most recent email or chat thread as the only working standard.,B,Readiness requires the module-specific control to be completed and visible in the approved system.,required_control;readiness
HIS-TRN-REQ-001-Q03,HIS-TRN-REQ-001,HIS-SOP-REQ-001,3,single_choice,application,Which record best proves HIS-SOP-REQ-001 was followed for starting sourcing on a new role?,A verbal update in the daily standup with no system entry.,A personal note or spreadsheet maintained by one team member only.,"A generic completion message that does not include evidence, owner, or next step.","Execution brief with must-haves, nice-to-haves, disqualifiers, rate/pay guidance, screening questions, and submission checklist.",D,"The record must be specific enough for another team member or auditor to understand the action, status, and evidence.",documentation;system_record
HIS-TRN-REQ-001-Q04,HIS-TRN-REQ-001,HIS-SOP-REQ-001,4,scenario_single_choice,scenario_application,Scenario: A recruiter has only a copied JD and no clarity on must-haves or disqualifiers but wants to start sourcing to save time. What is the best response?,Treat the issue as resolved if a verbal confirmation was received.,Ask the team to handle it informally because the situation is time-sensitive.,"Pause broad sourcing and complete the execution brief with clarified must-haves, disqualifiers, pay/rate guidance, and approval.",Move forward quickly and document the exception only if a problem occurs.,C,"The best response applies the SOP control before the issue turns into a delivery, compliance, or communication failure.",scenario;edge_case
HIS-TRN-REQ-001-Q05,HIS-TRN-REQ-001,HIS-SOP-REQ-001,5,single_choice,analysis,What is the most realistic misunderstanding that would weaken HIS-SOP-REQ-001?,Using the approved system to make handoffs visible to managers and teammates.,Treating the unified execution brief as optional when the team is busy or the role is urgent.,Believing every completed record should also have a clear owner and due date.,Escalating blockers early when required information or approval is missing.,B,A common failure mode is treating the key artifact/control as optional under pressure; the other options are expected behaviors.,misunderstanding;risk
HIS-TRN-REQ-001-Q06,HIS-TRN-REQ-001,HIS-SOP-REQ-001,6,single_choice,application,Who should own or verify the key control for HIS-SOP-REQ-001?,Any person can close it without review if the outcome looks positive.,No assigned owner is needed if the team discusses it in a meeting.,"Only the newest team member working the task, because they are closest to the work.",Account/Delivery owner validates the brief; recruiters use it for sourcing and screening.,D,Ownership must match the SOP’s operating responsibility so accountability does not disappear in remote work.,ownership;manager_control
HIS-TRN-REQ-001-Q07,HIS-TRN-REQ-001,HIS-SOP-REQ-001,7,scenario_single_choice,scenario_application,"Scenario: KleriQ generates a role brief, but it conflicts with a client email about required certification. What should happen next?",Keep the issue in a private note until the final outcome is known.,Let the person who discovered the issue decide without involving the required owner or workflow.,Escalate and resolve the conflict with human review before using the brief as the sourcing standard.,Continue using the old information because changing records mid-process creates extra work.,C,"The scenario tests the second-level application of the SOP when work changes, conflicts, or becomes risky.",scenario;second_scenario
HIS-TRN-REQ-001-Q08,HIS-TRN-REQ-001,HIS-SOP-REQ-001,8,single_choice,evaluation,Which evidence would best show that HIS-SOP-REQ-001 is working after rollout?,"Most employees say in chat that they understand the SOP, but no workflow data is reviewed.","The SOP exists in a folder, even if training, acknowledgment, and audits are incomplete.",90%+ intake completeness and fewer blind-sourcing escalations after Wave 1.,"Managers remember discussing the SOP, but there is no KPI, record, or compliance evidence.",C,"The success measure must connect the SOP to measurable adoption, quality, compliance, or business impact.",success_measure;kpi
HIS-TRN-TA-001-Q01,HIS-TRN-TA-001,HIS-SOP-TA-001,1,single_choice,understanding,"For HIS-SOP-TA-001 (requisition intake), what is the primary business reason the SOP exists?",To let managers bypass formal records when urgency is high and document later.,"To focus mainly on activity volume even if records, handoffs, or quality controls are incomplete.","Ensures every recruiter starts with aligned role, rate, pay, margin, urgency, target profile, and submission expectations.",To provide optional reference guidance for requisition intake that teams may adapt without approval.,C,"The SOP exists to support the specific business outcome described for requisition intake, not to create optional paperwork.",purpose;business_value
HIS-TRN-TA-001-Q02,HIS-TRN-TA-001,HIS-SOP-TA-001,2,single_choice,application,"Before opening a requisition for delivery is treated as ready under HIS-SOP-TA-001, which control is required?",Use the most recent email or chat thread as the only working standard.,"Start execution once the manager gives a verbal go-ahead, then add missing fields at week end.","Role details, rate/pay guidance, priority, assigned recruiters, submission format, and kickoff notes must be complete before delivery starts.","Proceed if the candidate/client seems urgent, even if required records are not complete.",C,Readiness requires the module-specific control to be completed and visible in the approved system.,required_control;readiness
HIS-TRN-TA-001-Q03,HIS-TRN-TA-001,HIS-SOP-TA-001,3,single_choice,application,Which record best proves HIS-SOP-TA-001 was followed for opening a requisition for delivery?,"A generic completion message that does not include evidence, owner, or next step.",A verbal update in the daily standup with no system entry.,"Ceipal/job record with requirement details, rate/pay guidance, priority, assignment, kickoff notes, and blockers.",A personal note or spreadsheet maintained by one team member only.,C,"The record must be specific enough for another team member or auditor to understand the action, status, and evidence.",documentation;system_record
